iter	Passed	Remaining
676	3605	1720
677	3610	1714
678	3617	1709
679	3622	1704
680	3628	1699
681	3633	1694
682	3638	1688
683	3644	1683
684	3649	1678
685	3654	1672
686	3664	1669
687	3671	1665
688	3679	1661
689	3688	1657
690	3695	1652
691	3701	1647
692	3707	1642
693	3714	1637
694	3720	1632
695	3724	1626
696	3729	1621
697	3733	1615
698	3738	1610
699	3743	1604
700	3748	1598
701	3752	1593
702	3757	1587
703	3762	1581
704	3767	1576
705	3771	1570
706	3776	1564
707	3781	1559
708	3786	1554
709	3791	1548
710	3796	1543
711	3800	1537
712	3805	1531
713	3810	1526
714	3815	1520
715	3820	1515
716	3825	1509
717	3830	1504
718	3835	1498
719	3840	1493
720	3845	1487
721	3850	1482
722	3854	1476
723	3859	1471
724	3863	1465
725	3869	1460
726	3874	1454
727	3879	1449
728	3884	1444
729	3890	1438
730	3895	1433
731	3900	1427
732	3905	1422
733	3910	1417
734	3915	1411
735	3920	1406
736	3924	1400
737	3929	1394
738	3933	1389
739	3938	1383
740	3943	1378
741	3948	1372
742	3953	1367
743	3957	1361
744	3962	1356
745	3967	1350
746	3972	1345
747	3978	1340
748	3982	1334
749	3987	1329
750	3992	1323
751	3998	1318
752	4003	1313
753	4008	1307
754	4013	1302
755	4018	1297
756	4023	1291
757	4028	1286
758	4033	1280
759	4037	1275
760	4042	1269
761	4047	1264
762	4052	1258
763	4057	1253
764	4062	1247
765	4066	1242
766	4071	1236
767	4076	1231
768	4081	1226
769	4086	1220
770	4091	1215
771	4095	1209
772	4100	1204
773	4104	1198
774	4109	1193
775	4114	1187
776	4119	1182
777	4124	1177
778	4129	1171
779	4134	1166
780	4139	1160
781	4144	1155
782	4149	1149
783	4154	1144
784	4158	1139
785	4163	1133
786	4168	1128
787	4173	1122
788	4177	1117
789	4182	1111
790	4187	1106
791	4193	1101
792	4198	1095
793	4203	1090
794	4209	1085
795	4215	1080
796	4221	1075
797	4227	1070
798	4233	1064
799	4239	1059
800	4245	1054
801	4250	1049
802	4256	1044
803	4261	1038
804	4266	1033
805	4273	1028
806	4278	1023
807	4283	1017
808	4288	1012
809	4295	1007
810	4301	1002
811	4307	997
812	4313	992
813	4318	986
814	4325	981
815	4330	976
816	4336	971
817	4341	966
818	4347	960
819	4352	955
820	4357	950
821	4363	944
822	4368	939
823	4373	934
824	4378	928
825	4383	923
826	4389	918
827	4394	912
828	4399	907
829	4405	902
830	4409	896
831	4416	891
832	4422	886
833	4427	881
834	4433	876
835	4438	870
836	4443	865
837	4449	860
838	4454	854
839	4459	849
840	4465	844
841	4471	839
842	4476	833
843	4481	828
844	4487	823
845	4493	817
846	4498	812
847	4504	807
848	4511	802
849	4516	797
850	4522	791
851	4528	786
852	4533	781
853	4539	776
854	4544	770
855	4550	765
856	4555	760
857	4561	754
858	4567	749
859	4573	744
860	4578	739
861	4584	733
862	4589	728
863	4594	723
864	4599	717
865	4604	712
866	4610	707
867	4616	702
868	4621	696
869	4627	691
870	4632	686
871	4637	680
872	4643	675
873	4648	670
874	4655	665
875	4660	659
876	4666	654
877	4671	649
878	4677	643
879	4682	638
880	4688	633
881	4693	627
882	4698	622
883	4704	617
884	4709	611
885	4714	606
886	4719	601
887	4725	595
888	4730	590
889	4736	585
890	4742	580
891	4748	574
892	4753	569
893	4759	564
894	4766	559
895	4771	553
