id,descripcion,tipo_datos,requerido,unidad
np_100_s,desviación típica del nº de días de precipitación mayor o igual que 10 mm en el mes/año,string,False,Nº de días
np_300_cv,coeficiente de variación de Pearson del nº de días de precipitación mayor o igual que 30 mm en el mes/año,string,False,
np_300_max,valor máximo del nº de días de precipitación mayor o igual que 30 mm en el mes/año,string,False,Nº de días
np_300_md,media aritmética del nº de días de precipitación mayor o igual que 30 mm en el mes/año,string,False,Nº de días
np_300_min,valor mínimo del nº de días de precipitación mayor o igual que 30 mm en el mes/año,string,False,Nº de días
np_300_mn,mediana del nº de días de precipitación mayor o igual que 30 mm en el mes/año,string,False,Nº de días
np_300_n,frecuencia absoluta (nº de años con dato disponible) del nº de días de precipitación mayor o igual que 30 mm en el mes/año,string,False,Nº de días
np_300_q1,primer quintil del nº de días de precipitación mayor o igual que 30 mm en el mes/año,string,False,Nº de días
np_300_q2,segundo quintil del nº de días de precipitación mayor o igual que 30 mm en el mes/año,string,False,Nº de días
np_300_q3,tercer quintil del nº de días de precipitación mayor o igual que 30 mm en el mes/año,string,False,Nº de días
np_300_q4,cuarto quintil del nº de días de precipitación mayor o igual que 30 mm en el mes/año,string,False,Nº de días
np_300_s,desviación típica del nº de días de precipitación mayor o igual que 30 mm en el mes/año,string,False,Nº de días
nt_00_cv,coeficiente de variación de Pearson del nº de días de temperatura mínima menor o igual que 0 °C,string,False,
nt_00_max,valor máximo del nº de días de temperatura mínima menor o igual que 0 °C,string,False,Nº de días
nt_00_md,media aritmética del nº de días de temperatura mínima menor o igual que 0 °C,string,False,Nº de días
nt_00_min,valor mínimo del nº de días de temperatura mínima menor o igual que 0 °C,string,False,Nº de días
nt_00_mn,mediana del nº de días de temperatura mínima menor o igual que 0 °C,string,False,Nº de días
nt_00_n,frecuencia absoluta (nº de años con dato disponible) del nº de días de temperatura mínima menor o igual que 0 °C,string,False,Nº de días
nt_00_q1,primer quintil del nº de días de temperatura mínima menor o igual que 0 °C,string,False,Nº de días
nt_00_q2,segundo quintil del nº de días de temperatura mínima menor o igual que 0 °C,string,False,Nº de días
nt_00_q3,tercer quintil del nº de días de temperatura mínima menor o igual que 0 °C,string,False,Nº de días
nt_00_q4,cuarto quintil del nº de días de temperatura mínima menor o igual que 0 °C,string,False,Nº de días
nt_00_s,desviación típica del nº de días de temperatura mínima menor o igual que 0 °C,string,False,Nº de días
nt_30_cv,coeficiente de variación de Pearson del nº de días de temperatura máxima mayor o igual que 30 °C,string,False,
nt_30_max,valor máximo del nº de días de temperatura máxima mayor o igual que 30 °C,string,False,Nº de días
nt_30_md,media aritmética del nº de días de temperatura máxima mayor o igual que 30 °C,string,False,Nº de días
nt_30_min,valor mínimo del nº de días de temperatura máxima mayor o igual que 30 °C,string,False,Nº de días
nt_30_mn,mediana del nº de días de temperatura máxima mayor o igual que 30 °C,string,False,Nº de días
nt_30_n,frecuencia absoluta (nº de años con dato disponible) del nº de días de temperatura máxima mayor o igual que 30 °C,string,False,Nº de días
nt_30_q1,primer quintil del nº de días de temperatura máxima mayor o igual que 30 °C,string,False,Nº de días
nt_30_q2,segundo quintil del nº de días de temperatura máxima mayor o igual que 30 °C,string,False,Nº de días
nt_30_q3,tercer quintil del nº de días de temperatura máxima mayor o igual que 30 °C,string,False,Nº de días
nt_30_q4,cuarto quintil del nº de días de temperatura máxima mayor o igual que 30 °C,string,False,Nº de días
nt_30_s,desviación típica del nº de días de temperatura máxima mayor o igual que 30 °C,string,False,Nº de días
n_tor_cv,coeficiente de variación de Pearson del nº de días de tormenta en el mes/año,string,False,
n_tor_max,valor máximo del nº de días de tormenta en el mes/año,string,False,Nº de días
n_tor_md,media aritmética del nº de días de tormenta en el mes/año,string,False,Nº de días
n_tor_min,valor mínimo del nº de días de tormenta en el mes/año,string,False,Nº de días
n_tor_mn,mediana del nº de días de tormenta en el mes/año,string,False,Nº de días
n_tor_n,frecuencia absoluta (nº de años con dato disponible) del nº de días de tormenta en el mes/año,string,False,Nº de días
n_tor_q1,primer quintil del nº de días de tormenta en el mes/año,string,False,Nº de días
n_tor_q2,segundo quintil del nº de días de tormenta en el mes/año,string,False,Nº de días
n_tor_q3,tercer quintil del nº de días de tormenta en el mes/año,string,False,Nº de días
n_tor_q4,cuarto quintil del nº de días de tormenta en el mes/año,string,False,Nº de días
n_tor_s,desviación típica del nº de días de tormenta en el mes/año,string,False,Nº de días
nv_0050_cv,coeficiente de variación de Pearson del nº de días con visibilidad inferior a 50 m en el mes/año,string,False,
nv_0050_max,valor máximo del nº de días con visibilidad inferior a 50 m en el mes/año,string,False,Nº de días
nv_0050_md,media aritmética del nº de días con visibilidad inferior a 50 m en el mes/año,string,False,Nº de días
nv_0050_min,valor mínimo del nº de días con visibilidad inferior a 50 m en el mes/año,string,False,Nº de días
nv_0050_mn,mediana del nº de días con visibilidad inferior a 50 m en el mes/año,string,False,Nº de días
nv_0050_n,frecuencia absoluta (nº de años con dato disponible) del nº de días con visibilidad inferior a 50 m en el mes/año,string,False,Nº de días
nv_0050_q1,primer quintil del nº de días con visibilidad inferior a 50 m en el mes/año,string,False,Nº de días
nv_0050_q2,segundo quintil del nº de días con visibilidad inferior a 50 m en el mes/año,string,False,Nº de días
nv_0050_q3,tercer quintil del nº de días con visibilidad inferior a 50 m en el mes/año,string,False,Nº de días
nv_0050_q4,cuarto quintil del nº de días con visibilidad inferior a 50 m en el mes/año,string,False,Nº de días
nv_0050_s,desviación típica del nº de días con visibilidad inferior a 50 m en el mes/año,string,False,Nº de días
nv_0100_cv,coeficiente de variación de Pearson del nº de días con visibilidad superior o igual a 50 m e inferior a 100 m en el mes/año,string,False,
nv_0100_max,valor máximo del nº de días con visibilidad superior o igual a 50 m e inferior a 100 m en el mes/año,string,False,Nº de días
nv_0100_md,media aritmética del nº de días con visibilidad superior o igual a 50 m e inferior a 100 m en el mes/año,string,False,Nº de días
nv_0100_min,valor mínimo del nº de días con visibilidad superior o igual a 50 m e inferior a 100 m en el mes/año,string,False,Nº de días
nv_0100_mn,mediana del nº de días con visibilidad superior o igual a 50 m e inferior a 100 m en el mes/año,string,False,Nº de días
nv_0100_n,frecuencia absoluta (nº de años con dato disponible) del nº de días con visibilidad superior o igual a 50 m e inferior a 100 m en el mes/año,string,False,Nº de días
nv_0100_q1,primer quintil del nº de días con visibilidad superior o igual a 50 m e inferior a 100 m en el mes/año,string,False,Nº de días
